"","species","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g"
"1","Adelie",39.1,18.7,181,3750
"2","Adelie",39.5,17.4,186,3800
"3","Adelie",40.3,18,195,3250
"4","Adelie",36.7,19.3,193,3450
"5","Adelie",39.3,20.6,190,3650
"6","Adelie",38.9,17.8,181,3625
"7","Adelie",39.2,19.6,195,4675
"8","Adelie",34.1,18.1,193,3475
"9","Adelie",42,20.2,190,4250
"10","Adelie",37.8,17.1,186,3300
"11","Adelie",37.8,17.3,180,3700
"12","Adelie",41.1,17.6,182,3200
"13","Adelie",38.6,21.2,191,3800
"14","Adelie",34.6,21.1,198,4400
"15","Adelie",36.6,17.8,185,3700
"16","Adelie",38.7,19,195,3450
"17","Adelie",42.5,20.7,197,4500
"18","Adelie",34.4,18.4,184,3325
"19","Adelie",46,21.5,194,4200
"20","Adelie",37.8,18.3,174,3400
"21","Adelie",37.7,18.7,180,3600
"22","Adelie",35.9,19.2,189,3800
"23","Adelie",38.2,18.1,185,3950
"24","Adelie",38.8,17.2,180,3800
"25","Adelie",35.3,18.9,187,3800
"26","Adelie",40.6,18.6,183,3550
"27","Adelie",40.5,17.9,187,3200
"28","Adelie",37.9,18.6,172,3150
"29","Adelie",40.5,18.9,180,3950
"30","Adelie",39.5,16.7,178,3250
"31","Adelie",37.2,18.1,178,3900
"32","Adelie",39.5,17.8,188,3300
"33","Adelie",40.9,18.9,184,3900
"34","Adelie",36.4,17,195,3325
"35","Adelie",39.2,21.1,196,4150
"36","Adelie",38.8,20,190,3950
"37","Adelie",42.2,18.5,180,3550
"38","Adelie",37.6,19.3,181,3300
"39","Adelie",39.8,19.1,184,4650
"40","Adelie",36.5,18,182,3150
"41","Adelie",40.8,18.4,195,3900
"42","Adelie",36,18.5,186,3100
"43","Adelie",44.1,19.7,196,4400
"44","Adelie",37,16.9,185,3000
"45","Adelie",39.6,18.8,190,4600
"46","Adelie",41.1,19,182,3425
"47","Adelie",37.5,18.9,179,2975
"48","Adelie",36,17.9,190,3450
"49","Adelie",42.3,21.2,191,4150
"50","Adelie",39.6,17.7,186,3500
"51","Adelie",40.1,18.9,188,4300
"52","Adelie",35,17.9,190,3450
"53","Adelie",42,19.5,200,4050
"54","Adelie",34.5,18.1,187,2900
"55","Adelie",41.4,18.6,191,3700
"56","Adelie",39,17.5,186,3550
"57","Adelie",40.6,18.8,193,3800
"58","Adelie",36.5,16.6,181,2850
"59","Adelie",37.6,19.1,194,3750
"60","Adelie",35.7,16.9,185,3150
"61","Adelie",41.3,21.1,195,4400
"62","Adelie",37.6,17,185,3600
"63","Adelie",41.1,18.2,192,4050
"64","Adelie",36.4,17.1,184,2850
"65","Adelie",41.6,18,192,3950
"66","Adelie",35.5,16.2,195,3350
"67","Adelie",41.1,19.1,188,4100
"68","Adelie",35.9,16.6,190,3050
"69","Adelie",41.8,19.4,198,4450
"70","Adelie",33.5,19,190,3600
"71","Adelie",39.7,18.4,190,3900
"72","Adelie",39.6,17.2,196,3550
"73","Adelie",45.8,18.9,197,4150
"74","Adelie",35.5,17.5,190,3700
"75","Adelie",42.8,18.5,195,4250
"76","Adelie",40.9,16.8,191,3700
"77","Adelie",37.2,19.4,184,3900
"78","Adelie",36.2,16.1,187,3550
"79","Adelie",42.1,19.1,195,4000
"80","Adelie",34.6,17.2,189,3200
"81","Adelie",42.9,17.6,196,4700
"82","Adelie",36.7,18.8,187,3800
"83","Adelie",35.1,19.4,193,4200
"84","Adelie",37.3,17.8,191,3350
"85","Adelie",41.3,20.3,194,3550
"86","Adelie",36.3,19.5,190,3800
"87","Adelie",36.9,18.6,189,3500
"88","Adelie",38.3,19.2,189,3950
"89","Adelie",38.9,18.8,190,3600
"90","Adelie",35.7,18,202,3550
"91","Adelie",41.1,18.1,205,4300
"92","Adelie",34,17.1,185,3400
"93","Adelie",39.6,18.1,186,4450
"94","Adelie",36.2,17.3,187,3300
"95","Adelie",40.8,18.9,208,4300
"96","Adelie",38.1,18.6,190,3700
"97","Adelie",40.3,18.5,196,4350
"98","Adelie",33.1,16.1,178,2900
"99","Adelie",43.2,18.5,192,4100
"100","Adelie",35,17.9,192,3725
"101","Adelie",41,20,203,4725
"102","Adelie",37.7,16,183,3075
"103","Adelie",37.8,20,190,4250
"104","Adelie",37.9,18.6,193,2925
"105","Adelie",39.7,18.9,184,3550
"106","Adelie",38.6,17.2,199,3750
"107","Adelie",38.2,20,190,3900
"108","Adelie",38.1,17,181,3175
"109","Adelie",43.2,19,197,4775
"110","Adelie",38.1,16.5,198,3825
