"","k = 2","k = 5","k = 10"
"1",135758.613156572,121192.206632319,121190.528250938
"2",130602.38559327,119101.74371856,117621.931695831
"3",125616.549703355,119288.310317328,124067.166458233
"4",118053.328195826,119689.53176749,122006.317523719
"5",127725.521056342,115684.830272087,118604.016261987
"6",133538.074975609,119761.574480026,120788.376544897
"7",121878.220788795,117753.994833929,119953.628161248
"8",121731.926591651,116866.298828183,118060.177547989
"9",122569.15590224,118094.013702153,117031.671435796
"10",128694.325892873,124211.664577684,122280.316839114
"11",140460.810231752,119832.288595722,122980.659836661
"12",121085.144930028,120841.931816017,119978.821949353
"13",128664.927587504,116998.688770061,119458.382208375
"14",138519.332838394,123577.80916912,119181.892275756
"15",124195.840406581,114051.084347963,115596.113408553
"16",132373.585989061,122499.980652387,121301.385882888
"17",129327.434748494,114543.87669738,116021.816605696
"18",132067.905601321,116865.483961244,118930.557910807
"19",129844.633375201,121282.219706012,117434.44890612
"20",129383.987952242,117812.272198256,117765.855533997
"21",145971.308080007,122783.856847001,118767.343733196
"22",121996.789216684,118242.016877399,120550.087372563
"23",127376.046028829,119118.015687632,119297.894204815
"24",119939.878207085,119650.822259928,121986.373362208
"25",126037.906970498,119579.508132555,120657.777664255
"26",126254.944375797,118149.276592115,119743.553443524
"27",119798.067111917,120927.317169193,117666.311467274
"28",133330.353774368,118947.863647484,115849.765731196
"29",125519.097582999,124155.494962624,117759.560791564
"30",123698.031509466,121837.06201592,116425.644549562
